vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,460,461,110,300,,8,470,20,31,,,W,21,
1,461,462,70,301,,8,470,60,31,,,W,21,
1,428,463,90,,,,560,20,34,,22,,22,
1,463,464,80,,,,630,30,34,,,E,22,
1,464,465,90,,,,650,80,34,,,E,22,
1,465,466,70,,,,650,160,34,,,E,22,
1,466,467,60,,,,650,220,34,,,E,22,
1,467,468,220,302,,9,630,420,34,,,E,22,
1,468,469,90,303,,9,640,510,34,,,E,22,
1,469,470,100,304,,9,610,600,34,,,E,22,
1,470,471,130,305,,9,590,730,34,,,E,22,
1,471,472,170,306,,9,560,880,34,,,E,22,
1,472,473,90,307,,9,580,970,34,,,E,22,
1,473,474,90,308,,9,590,20,35,,,E,22,
1,474,475,70,309,,9,580,100,35,,,E,22,
1,475,476,150,310,,9,590,240,35,,,E,22,
1,476,477,680,311,,9,590,950,35,,,E,22,
1,477,478,100,312,,9,610,50,36,,,E,22,
1,478,479,100,313,,9,610,160,36,,,E,22,
1,479,480,160,314,,9,570,320,36,,,E,22,
1,480,481,70,315,,9,510,350,36,,,E,22,
1,481,482,90,316,,9,460,370,36,,,E,22,
1,464,483,50,,,,650,20,34,,,E,22,
1,483,484,90,,,,670,20,33,,,E,22,
1,484,485,50,,,,650,30,33,,,E,22,
1,485,486,100,,,,550,20,33,,,E,22,
1,486,487,150,,,,460,110,33,,,W,22,
1,487,488,40,317,,,430,130,33,,,W,22,
